identify,type,unit ,price
Dairy,Butter,per kg,54.5
Dairy,Butter,per kg,41.96
Dairy,Butter,per kg,58.72
Dairy,Butter,per kg,46.53
Dairy,Cheese,per kg,29.28
Dairy,Cheese,per kg,51
Dairy,Cheese,per kg,55.26
Dairy,Cheese,per kg,61.53
Dairy,Ice Cream,per kg,27.36
Dairy,Ice Cream,per kg,37.16
Dairy,Ice Cream,per kg,58.71
Dairy,Ice Cream,per kg,62.63
Dairy,Milk,per kg,49.24
Dairy,Milk,per kg,23.26
Dairy,Milk,per kg,47.8
Dairy,Milk,per kg,49.07
Dairy,Milk,per kg,41.8
Dairy,Whey,per kg,59.59
Dairy,Whey,per kg,28.5
Dairy,Whey,per kg,50.33
Dairy,Whey,per kg,25.36
Dairy,Whole Milk,per kg,32.08
Dairy,Whole Milk,per kg,39.82
Dairy,Whole Milk,per kg,69.69
Dairy,Whole Milk,per kg,39.14
Dairy,Whole Milk,per kg,36.73
Dairy,Lactose,per kg,42.96
Dairy,Lactose,per kg,68.06
Dairy,Lactose,per kg,40.42
Dairy,Lactose,per kg,69.81
Dairy,Yogurt,per kg,55.75
Dairy,Yogurt,per kg,46.29
Dairy,Yogurt,per kg,69.12
Dairy,Yogurt,per kg,52.86
