Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted,Avg Price
FRUIT,APPLE,nA,nA,nA,per kg,nA,6.1,$29
FRUIT,APPLE,nA,nA,nA,per kg,nA,2.6,$24
FRUIT,APPLE,nA,nA,nA,per kg,nA,6.6,$31
FRUIT,APPLE,nA,nA,nA,per kg,nA,2.4,$25
FRUIT,ORANGE,nA,nA,nA,per kg,nA,4.7,$49
FRUIT,ORANGE,nA,nA,nA,per kg,nA,6.2,$28
FRUIT,ORANGE,nA,nA,nA,per kg,nA,6.7,$28
FRUIT,ORANGE,nA,nA,nA,per kg,nA,6.9,$47
FRUIT,ORANGE,nA,nA,nA,per kg,nA,3.7,$20
FRUIT,BANANA,nA,nA,nA,per kg,nA,5.6,$23.72
FRUIT,BANANA,nA,nA,nA,per kg,nA,6.1,$22
FRUIT,BANANA,nA,nA,nA,per kg,nA,4.8,$33.06
FRUIT,BANANA,nA,nA,nA,per kg,nA,3.5,$30.18
FRUIT,BANANA,nA,nA,nA,per kg,nA,2.9,$36.26
FRUIT,BANANA,nA,nA,nA,per kg,nA,2.3,$38.62
FRUIT,PINEAPPLE,nA,nA,nA,per kg,nA,6.9,$49.04
FRUIT,PINEAPPLE,nA,nA,nA,per kg,nA,3.3,$41.81
FRUIT,PINEAPPLE,nA,nA,nA,per kg,nA,6.7,$30.05
FRUIT,PINEAPPLE,nA,nA,nA,per kg,nA,6.3,$45.98
FRUIT,PINEAPPLE,nA,nA,nA,per kg,nA,3.7,$41.78
FRUIT,LYCHEE,nA,nA,nA,per kg,nA,4.4,$32.69
FRUIT,LYCHEE,nA,nA,nA,per kg,nA,3.9,$20.13
FRUIT,LYCHEE,nA,nA,nA,per kg,nA,3.4,$45.63
FRUIT,LYCHEE,nA,nA,nA,per kg,nA,2.6,$38.74
FRUIT,LYCHEE,nA,nA,nA,per kg,nA,2.9,$49.19
FRUIT,MANDARIN,nA,nA,nA,per kg,nA,4.7,$36.38
FRUIT,MANDARIN,nA,nA,nA,per kg,nA,6.6,$22.30
FRUIT,MANDARIN,nA,nA,nA,per kg,nA,3.4,$46.38
FRUIT,MANDARIN,nA,nA,nA,per kg,nA,6.1,$42.83
FRUIT,MANDARIN,nA,nA,nA,per kg,nA,2.3,$22.67
FRUIT,JACKFRUIT,nA,nA,nA,per kg,nA,6.2,$45.83
FRUIT,JACKFRUIT,nA,nA,nA,per kg,nA,2.9,$49.57
FRUIT,JACKFRUIT,nA,nA,nA,per kg,nA,6.6,$49.93
FRUIT,JACKFRUIT,nA,nA,nA,per kg,nA,5.1,$35.64
FRUIT,JACKFRUIT,nA,nA,nA,per kg,nA,5.2,$42.27
FRUIT,WATERMELON,nA,nA,nA,per kg,nA,5.2,$34.39
FRUIT,WATERMELON,nA,nA,nA,per kg,nA,6.9,$30.02
FRUIT,WATERMELON,nA,nA,nA,per kg,nA,6.2,$21.98
FRUIT,WATERMELON,nA,nA,nA,per kg,nA,5.2,$28
FRUIT,WATERMELON,nA,nA,nA,per kg,nA,5.9,$38
FRUIT,MANGO,nA,nA,nA,per kg,nA,5.4,$46
FRUIT,MANGO,nA,nA,nA,per kg,nA,3.4,$43
FRUIT,MANGO,nA,nA,nA,per kg,nA,2.9,$21
FRUIT,MANGO,nA,nA,nA,per kg,nA,6.1,$23
FRUIT,MANGO,nA,nA,nA,per kg,nA,4.7,$35
