Meat,Type,weight,unit per kg,price
Meat,Fish,12,unit per kg,$46
Meat,Fish,2,unit per kg,24.31
Meat,Fish,3,unit per kg,24.51
Meat,Seafood,11,unit per kg,46.35
Meat,Seafood,12,unit per kg,37.65
Meat,Seafood,5,unit per kg,43.19
Meat,Seafood,9,unit per kg,42.07
Meat,Pork,8,unit per kg,30.09
Meat,Pork,6,unit per kg,32.08
Meat,Pork,11,unit per kg,28.33
Meat,Pork,4,unit per kg,42.88
Meat,Chicken,2,unit per kg,22.22
Meat,Chicken,5,unit per kg,40.55
Meat,Chicken,9,unit per kg,12.17
Meat,Chicken,6,unit per kg,22.87
Meat,Ham,9,unit per kg,16.12
Meat,Ham,5,unit per kg,43.78
Meat,Ham,6,unit per kg,19.67
Meat,Ham,8,unit per kg,13.84
Meat,Spam,4,unit per kg,22.13
Meat,Spam,5,unit per kg,26.31
Meat,Spam,9,unit per kg,21.9
Meat,Spam,10,unit per kg,21.94
Meat,Jamon,10,unit per kg,26.17
Meat,Jamon,10,unit per kg,19.19
Meat,Jamon,2,unit per kg,11.85
Meat,Jamon,2,unit per kg,29.27
Meat,Sausages,9,unit per kg,22.43
Meat,Sausages,11,unit per kg,16.5
Meat,Sausages,8,unit per kg,36.25
Meat,Sausages,11,unit per kg,44.13
Meat,Sausages,8,unit per kg,19.5
