"Category","Sector code","Product code","Product desc","Product Brief Description","Unit","Country","Period","MP Market Price"
"Fruit products","FRL","AVOHAS","Avocados","Avocados - Avocats,  Hass - Cat. I - Cal. 16-20","€/100 kg net weight","EU","201803","315,00"
"Fruit products","FRL","AVOHAS","Avocados","Avocados - Avocats,  Hass - Cat. I - Cal. 16-20","€/100 kg net weight","ES","201803","315,00"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","EU","201803","97,88"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","GR","201803","47,25"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","ES","201803","96,34"
"Fruit products","FRL","CITCL1","Lemons","Lemons - Citrons,  Cat. I - Cal. 1-3","€/100 kg net weight","IT","201803","110,94"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","EU","201803","102,56"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","GR","201803","63,00"
"Fruit products","FRL","CLECL1","Clementines","Clementines - Clementines,  Cat. I - Cal. 1x-2","€/100 kg net weight","IT","201803","107,50"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","EU","201803","345,58"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","BE","201803","694,91"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","ES","201803","220,38"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","FR","201803","695,75"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","IT","201803","337,92"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","NL","201803","663,00"
"Fruit products","FRL","FRACL1","Strawberries","Strawberries - Fraises - Cat. I","€/100 kg net weight","PT","201803","290,00"
"Fruit products","FRL","KIWHAY","Kiwis","Kiwis - Kiwis, Hayward - Cat. I - Cal. 105-125","€/100 kg net weight","EU","201803","175,18"
"Fruit products","FRL","KIWHAY","Kiwis","Kiwis - Kiwis, Hayward - Cat. I - Cal. 105-125","€/100 kg net weight","GR","201803","110,25"
"Fruit products","FRL","KIWHAY","Kiwis","Kiwis - Kiwis, Hayward - Cat. I - Cal. 105-125","€/100 kg net weight","FR","201803","223,38"
"Fruit products","FRL","KIWHAY","Kiwis","Kiwis - Kiwis, Hayward - Cat. I - Cal. 105-125","€/100 kg net weight","IT","201803","177,08"
"Fruit products","FRL","KIWHAY","Kiwis","Kiwis - Kiwis, Hayward - Cat. I - Cal. 105-125","€/100 kg net weight","PT","201803","145,00"
"Fruit products","FRL","MANCL1","Mandarins","Mandarins - Mandarines, Cat. I - Cal. 1x-2","€/100 kg net weight","EU","201803","99,10"
"Fruit products","FRL","MANCL1","Mandarins","Mandarins - Mandarines, Cat. I - Cal. 1x-2","€/100 kg net weight","GR","201803","54,28"
"Fruit products","FRL","MANCL1","Mandarins","Mandarins - Mandarines, Cat. I - Cal. 1x-2","€/100 kg net weight","ES","201803","116,22"
"Fruit products","FRL","MANCL1","Mandarins","Mandarins - Mandarines, Cat. I - Cal. 1x-2","€/100 kg net weight","IT","201803","90,25"
"Fruit products","FRL","MANCL1","Mandarins","Mandarins - Mandarines, Cat. I - Cal. 1x-2","€/100 kg net weight","PT","201803","102,50"
"Fruit products","FRL","POICON","Pears","Pears - Poires, Conference, Cat. I, Size 60/65+","€/100 kg net weight","EU","201803","84,57"
"Fruit products","FRL","POICON","Pears","Pears - Poires, Conference, Cat. I, Size 60/65+","€/100 kg net weight","BE","201803","59,44"
"Fruit products","FRL","POICON","Pears","Pears - Poires, Conference, Cat. I, Size 60/65+","€/100 kg net weight","ES","201803","77,43"
"Fruit products","FRL","POICON","Pears","Pears - Poires, Conference, Cat. I, Size 60/65+","€/100 kg net weight","IT","201803","96,67"
"Fruit products","FRL","POICON","Pears","Pears - Poires, Conference, Cat. I, Size 60/65+","€/100 kg net weight","NL","201803","76,21"
"Fruit products","FRL","POICON","Pears","Pears - Poires, Conference, Cat. I, Size 60/65+","€/100 kg net weight","PL","201803","69,96"
"Fruit products","FRL","POMBRA","Apples Braeburn","Apples - Pommes, Braeburn, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","88,74"
"Fruit products","FRL","POMBRA","Apples Braeburn","Apples - Pommes, Braeburn, Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","76,60"
"Fruit products","FRL","POMBRA","Apples Braeburn","Apples - Pommes, Braeburn, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","96,32"
"Fruit products","FRL","POMBRA","Apples Braeburn","Apples - Pommes, Braeburn, Cat. I - Cal. 70-80","€/100 kg net weight","IT","201803","91,42"
"Fruit products","FRL","POMBRA","Apples Braeburn","Apples - Pommes, Braeburn, Cat. I - Cal. 70-80","€/100 kg net weight","NL","201803","80,99"
"Fruit products","FRL","POMBRA","Apples Braeburn","Apples - Pommes, Braeburn, Cat. I - Cal. 70-80","€/100 kg net weight","AT","201803","77,50"
"Fruit products","FRL","POMBSK","Apples Boskoop","Apples - Pommes, Boskoop, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","77,69"
"Fruit products","FRL","POMBSK","Apples Boskoop","Apples - Pommes, Boskoop, Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","88,00"
"Fruit products","FRL","POMBSK","Apples Boskoop","Apples - Pommes, Boskoop, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","81,00"
"Fruit products","FRL","POMBSK","Apples Boskoop","Apples - Pommes, Boskoop, Cat. I - Cal. 70-80","€/100 kg net weight","NL","201803","248,70"
"Fruit products","FRL","POMBSK","Apples Boskoop","Apples - Pommes, Boskoop, Cat. I - Cal. 70-80","€/100 kg net weight","PL","201803","37,94"
"Fruit products","FRL","POMCOX","Apples Cox","Apples - Pommes, Cox orange, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","114,23"
"Fruit products","FRL","POMCOX","Apples Cox","Apples - Pommes, Cox orange, Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","45,00"
"Fruit products","FRL","POMCOX","Apples Cox","Apples - Pommes, Cox orange, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","145,00"
"Fruit products","FRL","POMELS","Apples Elstar","Apples - Pommes, Elstar, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","116,11"
"Fruit products","FRL","POMELS","Apples Elstar","Apples - Pommes, Elstar, Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","134,06"
"Fruit products","FRL","POMELS","Apples Elstar","Apples - Pommes, Elstar, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","115,52"
"Fruit products","FRL","POMELS","Apples Elstar","Apples - Pommes, Elstar, Cat. I - Cal. 70-80","€/100 kg net weight","NL","201803","102,92"
"Fruit products","FRL","POMELS","Apples Elstar","Apples - Pommes, Elstar, Cat. I - Cal. 70-80","€/100 kg net weight","AT","201803","112,67"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","90,27"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","GR","201803","81,00"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","ES","201803","99,53"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","IT","201803","91,75"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","NL","201803","80,50"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","AT","201803","84,25"
"Fruit products","FRL","POMFUJ","Apples Fuji","Apples - Pommes, Fuji, Cat. I - Cal. 70-80","€/100 kg net weight","PT","201803","83,25"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","81,21"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","CZ","201803","76,51"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","97,65"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","FR","201803","104,33"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","IT","201803","97,31"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","HU","201803","63,36"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","AT","201803","81,38"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","PL","201803","42,05"
"Fruit products","FRL","POMGAL","Apples Gala","Apples - Pommes, Gala, Cat. I - Cal. 70-80","€/100 kg net weight","PT","201803","50,63"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","EU","201803","72,69"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","BE","201803","59,29"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","CZ","201803","71,59"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","DE","201803","75,39"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","GR","201803","81,57"
"Fruit products","FRL","POMGOD","Apples Golden","Apples - Pommes, Golden Delicious, Cat. I - Cal. 70-80","€/100 kg net weight","ES","201803","72,00"
