Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price
FRUIT,APPLE PEARS,,nA,nA,each,nA,2.5
FRUIT,APPLE PEARS,,nA,nA,per pound,nA,1.5
FRUIT,APPLES,BRAEBURN,nA,nA,per pound,nA,1.25
FRUIT,APPLES,BRAEBURN,nA,nA,2 lb bag,nA,3
FRUIT,APPLES,BRAEBURN,nA,nA,per pound,nA,1.79
FRUIT,APPLES,FUJI,nA,nA,3 lb bag,nA,2.53
FRUIT,APPLES,FUJI,nA,nA,per pound,nA,1.23
FRUIT,APPLES,FUJI,nA,nA,2 lb bag,nA,3.25
FRUIT,APPLES,FUJI,nA,nA,3 lb bag,nA,2.9
FRUIT,APPLES,FUJI,nA,nA,per pound,nA,2.21
FRUIT,APPLES,GALA,nA,nA,2 lb bag,nA,3.69
FRUIT,APPLES,GALA,nA,nA,3 lb bag,nA,3.39
FRUIT,APPLES,GALA,nA,nA,5 lb bag,nA,5.13
FRUIT,APPLES,GALA,nA,nA,per pound,nA,1.46
FRUIT,APPLES,GALA,nA,nA,2 lb bag,nA,3.44
FRUIT,APPLES,GALA,nA,nA,3 lb bag,nA,3.24
FRUIT,APPLES,GALA,nA,nA,per pound,nA,1.84
FRUIT,APPLES,GOLDEN DELICIOUS,nA,nA,3 lb bag,nA,2.04
FRUIT,APPLES,GOLDEN DELICIOUS,nA,nA,per pound,nA,1.37
FRUIT,APPLES,GOLDEN DELICIOUS,nA,nA,per pound,nA,1.49
FRUIT,APPLES,GRANNY SMITH,nA,nA,3 lb bag,nA,3.37
FRUIT,APPLES,GRANNY SMITH,nA,nA,per pound,nA,1.59
FRUIT,APPLES,GRANNY SMITH,nA,nA,2 lb bag,nA,4.86
FRUIT,APPLES,GRANNY SMITH,nA,nA,3 lb bag,nA,3.12
FRUIT,APPLES,GRANNY SMITH,nA,nA,per pound,nA,2.49
FRUIT,APPLES,HONEYCRISP,nA,nA,2 lb bag,nA,2.99
FRUIT,APPLES,HONEYCRISP,nA,nA,per pound,nA,2.38
FRUIT,APPLES,HONEYCRISP,nA,nA,per pound,nA,2.96
FRUIT,APPLES,JONAGOLD,nA,nA,3 lb bag,nA,1.68
FRUIT,APPLES,JONAGOLD,nA,nA,per pound,nA,1.19
FRUIT,APPLES,MCINTOSH,nA,nA,3 lb bag,nA,2.5
FRUIT,APPLES,MCINTOSH,nA,nA,per pound,nA,0.99
FRUIT,APPLES,PINK LADY/CRIPPS PINK,nA,nA,3 lb bag,nA,3.96
FRUIT,APPLES,PINK LADY/CRIPPS PINK,nA,nA,per pound,nA,1.61
FRUIT,APPLES,PINK LADY/CRIPPS PINK,nA,nA,3 lb bag,nA,1.99
FRUIT,APPLES,RED DELICIOUS,nA,nA,3 lb bag,nA,2.22
FRUIT,APPLES,RED DELICIOUS,nA,nA,5 lb bag,nA,4.35
FRUIT,APPLES,RED DELICIOUS,nA,nA,per pound,nA,1.33
FRUIT,APPLES,RED DELICIOUS,nA,nA,2 lb bag,nA,3.48
FRUIT,APPLES,RED DELICIOUS,nA,nA,3 lb bag,nA,3
FRUIT,APPLES,RED DELICIOUS,nA,nA,per pound,nA,1.49
FRUIT,APPLES  PROCESSED,JUICE,nA,nA,128 oz (1 gallon),nA,4.39
FRUIT,APPLES  PROCESSED,JUICE,nA,nA,64 oz (1/2 gallon),nA,2.07
FRUIT,APPLES  PROCESSED,JUICE,nA,nA,128 oz (1 gallon),nA,7.99
FRUIT,APPLES  PROCESSED,JUICE,nA,nA,64 oz (1/2 gallon),nA,3.14
FRUIT,APPLES  PROCESSED,JUICE MARKED CIDER,nA,nA,64 oz (1/2 gallon),nA,3.08
FRUIT,APRICOTS,,nA,nA,per pound,nA,3.73
FRUIT,AVOCADOS,HASS,nA,nA,each,nA,1.26
FRUIT,AVOCADOS,HASS,nA,nA,each,nA,1.72
FRUIT,AVOCADOS,VARIOUS GREENSKIN VARIETIES,nA,nA,each,nA,1.17
FRUIT,AVOCADOS,VARIOUS GREENSKIN VARIETIES,nA,nA,per pound,nA,2.77
FRUIT,AVOCADOS,VARIOUS GREENSKIN VARIETIES,nA,nA,each,nA,1.99
FRUIT,BANANAS,,nA,nA,per pound,nA,0.47
FRUIT,BANANAS,,nA,nA,per pound,nA,0.72
FRUIT,BLACKBERRIES,,nA,nA,5.6 - 6 oz package,nA,2.4
FRUIT,BLACKBERRIES,,nA,nA,5.6 - 6 oz package,nA,3.47
FRUIT,BLUEBERRIES,,nA,nA,1 pint package,nA,2.97
FRUIT,BLUEBERRIES,,nA,nA,18 oz package,nA,4.32
FRUIT,BLUEBERRIES,,nA,nA,6 oz package,nA,2.22
FRUIT,BLUEBERRIES,,nA,nA,1 pint package,nA,3.49
FRUIT,BLUEBERRIES,,nA,nA,18 oz package,nA,4.18
FRUIT,BLUEBERRIES,,nA,nA,6 oz package,nA,3.29
FRUIT,CANTALOUPS,,nA,nA,each,nA,2.3
FRUIT,CANTALOUPS,,nA,nA,per pound,nA,0.76
FRUIT,CANTALOUPS,,nA,nA,each,nA,2.69
FRUIT,CANTALOUPS,,nA,nA,per pound,nA,0.97
FRUIT,CHERRIES,RED VARIETIES,nA,nA,per pound,nA,5.12
FRUIT,CLEMENTINES,,nA,nA,2 lb bag,nA,3.99
FRUIT,CLEMENTINES,,nA,nA,3 lb bag,nA,6.35
FRUIT,GRAPEFRUIT,RED,nA,nA,5 lb bag,nA,6.19
FRUIT,GRAPEFRUIT,RED,nA,nA,each,nA,1.1
FRUIT,GRAPEFRUIT,RED,nA,nA,per pound,nA,1.17
FRUIT,GRAPEFRUIT,RED,nA,nA,each,nA,2
FRUIT,GRAPEFRUIT,RED,nA,nA,per pound,nA,1.09
FRUIT,GRAPES,BLACK SEEDLESS,nA,nA,per pound,nA,2.74
FRUIT,GRAPES,RED GLOBE,nA,nA,per pound,nA,2.05
FRUIT,GRAPES,RED SEEDLESS,nA,nA,per pound,nA,2.1
FRUIT,GRAPES,WHITE SEEDLESS TYPE,nA,nA,per pound,nA,1.89
FRUIT,HONEYDEWS,,nA,nA,each,nA,3.08
FRUIT,HONEYDEWS,,nA,nA,per pound,nA,0.89
FRUIT,HONEYDEWS,,nA,nA,each,nA,2.14
FRUIT,HONEYDEWS,,nA,nA,per pound,nA,0.9
FRUIT,KIWIFRUIT,HAYWARD,nA,nA,1 lb bag,nA,2.67
FRUIT,KIWIFRUIT,HAYWARD,nA,nA,each,nA,0.33
FRUIT,KIWIFRUIT,HAYWARD,nA,nA,1 lb bag,nA,2.49
FRUIT,KIWIFRUIT,HAYWARD,nA,nA,each,nA,0.56
FRUIT,LEMONS,,nA,nA,2 lb bag,nA,3.95
FRUIT,LEMONS,,nA,nA,each,nA,0.58
FRUIT,LEMONS,,nA,nA,2 lb bag,nA,3.84
FRUIT,LEMONS,,nA,nA,each,nA,0.84
FRUIT,LEMONS,,nA,nA,per pound,nA,1.13
FRUIT,LIMES,,nA,nA,each,nA,0.28
FRUIT,LIMES,,nA,nA,per pound,nA,0.75
FRUIT,LIMES,,nA,nA,each,nA,0.42
FRUIT,LIMES,,nA,nA,per pound,nA,1.99
FRUIT,MANGOES,,nA,nA,each,nA,0.91
FRUIT,MANGOES,,nA,nA,per pound,nA,2.99
FRUIT,MANGOES,,nA,nA,each,nA,1.41
FRUIT,MANGOES,,nA,nA,per pound,nA,3.69
FRUIT,NECTARINES,VARIOUS YELLOW FLESH VARIETIES,nA,nA,per pound,nA,2.41
FRUIT,ORANGES,NAVEL,nA,nA,3 lb bag,nA,4.65
FRUIT,ORANGES,NAVEL,nA,nA,4 lb bag,nA,5.32
FRUIT,ORANGES,NAVEL,nA,nA,8 lb bag,nA,5.99
FRUIT,ORANGES,NAVEL,nA,nA,each,nA,0.98
FRUIT,ORANGES,NAVEL,nA,nA,per pound,nA,1.27
FRUIT,ORANGES,NAVEL,nA,nA,3 lb bag,nA,3.99
FRUIT,ORANGES,NAVEL,nA,nA,each,nA,1.55
FRUIT,ORANGES,NAVEL,nA,nA,per pound,nA,1.51
FRUIT,ORANGES,VALENCIA,nA,nA,4 lb bag,nA,3.64
FRUIT,ORANGES,VALENCIA,nA,nA,per pound,nA,0.4
FRUIT,ORANGES,VALENCIA,nA,nA,3 lb bag,nA,1.67
FRUIT,ORANGES,VALENCIA,nA,nA,4 lb bag,nA,3.29
FRUIT,ORANGES,VALENCIA,nA,nA,each,nA,1.5
FRUIT,ORANGES,VALENCIA,nA,nA,per pound,nA,0.94
FRUIT,PAPAYA,MARADOL/TAINUNG TYPES,nA,nA,per pound,nA,0.95
FRUIT,PAPAYA,SOLO TYPE,nA,nA,per pound,nA,0.99
FRUIT,PEACHES,VARIOUS WHITE FLESH VARIETIES,nA,nA,per pound,nA,3.02
FRUIT,PEACHES,VARIOUS YELLOW FLESH VARIETIES,nA,nA,per pound,nA,2.56
FRUIT,PEARS,BARTLETT,nA,nA,per pound,nA,1.5
FRUIT,PEARS,BARTLETT,nA,nA,per pound,nA,2.19
FRUIT,PEARS,BOSC,nA,nA,per pound,nA,1.5
FRUIT,PEARS,BOSC,nA,nA,per pound,nA,1.99
FRUIT,PEARS,D'ANJOU,nA,nA,per pound,nA,1.26
FRUIT,PEARS,D'ANJOU,nA,nA,per pound,nA,1.68
FRUIT,PINEAPPLES,,nA,nA,each,nA,2.49
FRUIT,PINEAPPLES,,nA,nA,per pound,nA,0.83
FRUIT,PINEAPPLES,,nA,nA,each,nA,3.41
FRUIT,PINEAPPLES,,nA,nA,per pound,nA,0.99
FRUIT,POMEGRANATES,,nA,nA,each,nA,2.82
FRUIT,RASPBERRIES,RED,nA,nA,6 oz package,nA,2.74
FRUIT,RASPBERRIES,RED,nA,nA,6 oz package,nA,3.99
FRUIT,STRAWBERRIES,,nA,nA,1 lb package,nA,2.11
FRUIT,STRAWBERRIES,,nA,nA,2 lb package,nA,4.38
FRUIT,STRAWBERRIES,,nA,nA,1 lb package,nA,3.58
FRUIT,TANGERINES,,nA,nA,2 lb bag,nA,4.99
FRUIT,TANGERINES,,nA,nA,3 lb bag,nA,3.33
FRUIT,TANGERINES,,nA,nA,5 lb package,nA,4.99
FRUIT,TANGERINES,,nA,nA,per pound,nA,1.96
FRUIT,WATERMELONS,RED FLESH SEEDED TYPE,nA,nA,each,nA,6.99
FRUIT,WATERMELONS,RED FLESH SEEDED TYPE,nA,nA,per pound,nA,0.25
FRUIT,WATERMELONS,RED FLESH SEEDLESS MINIATURE,nA,nA,each,nA,3.1
FRUIT,WATERMELONS,RED FLESH SEEDLESS MINIATURE,nA,nA,per pound,nA,0.86
FRUIT,WATERMELONS,RED FLESH SEEDLESS MINIATURE,nA,nA,each,nA,3.96
FRUIT,WATERMELONS,RED FLESH SEEDLESS TYPE,nA,nA,each,nA,4.9
FRUIT,WATERMELONS,RED FLESH SEEDLESS TYPE,nA,nA,per pound,nA,0.57
FRUIT,WATERMELONS,RED FLESH SEEDLESS TYPE,nA,nA,each,nA,4.24
FRUIT,WATERMELONS,RED FLESH SEEDLESS TYPE,nA,nA,per pound,nA,1.18
