Date	Region	Class	Commodity	Variety	Organic	Environment	Unit	Number of Stores	Weighted Avg Price
4/27/2018	NATIONAL	FRUITS	APPLE PEARS				each	175	1
4/27/2018	NATIONAL	FRUITS	APPLE PEARS				per pound	77	1.5
4/27/2018	NATIONAL	FRUITS	APPLES	BRAEBURN			per pound	152	1.29
4/27/2018	NATIONAL	FRUITS	APPLES	BRAEBURN	Y		per pound	19	1.1
4/27/2018	NATIONAL	FRUITS	APPLES	FUJI			3 lb bag	350	2.88
4/27/2018	NATIONAL	FRUITS	APPLES	FUJI			5 lb bag	255	5.94
4/27/2018	NATIONAL	FRUITS	APPLES	FUJI			per pound	"1,644"	1.21
4/27/2018	NATIONAL	FRUITS	APPLES	FUJI	Y		2 lb bag	197	3.32
4/27/2018	NATIONAL	FRUITS	APPLES	FUJI	Y		3 lb bag	345	4.06
4/27/2018	NATIONAL	FRUITS	APPLES	FUJI	Y		per pound	764	1.35
4/27/2018	NATIONAL	FRUITS	APPLES	GALA			3 lb bag	"2,193"	3.29
4/27/2018	NATIONAL	FRUITS	APPLES	GALA			per pound	"4,475"	1.38
4/27/2018	NATIONAL	FRUITS	APPLES	GALA	Y		2 lb bag	673	3.13
4/27/2018	NATIONAL	FRUITS	APPLES	GALA	Y		3 lb bag	354	4.05
4/27/2018	NATIONAL	FRUITS	APPLES	GALA	Y		per pound	"2,132"	1.82
4/27/2018	NATIONAL	FRUITS	APPLES	GOLDEN DELICIOUS			3 lb bag	179	2.82
4/27/2018	NATIONAL	FRUITS	APPLES	GOLDEN DELICIOUS			5 lb bag	25	4.98
4/27/2018	NATIONAL	FRUITS	APPLES	GOLDEN DELICIOUS			per pound	403	1.32
4/27/2018	NATIONAL	FRUITS	APPLES	GOLDEN DELICIOUS	Y		per pound	24	1.99
4/27/2018	NATIONAL	FRUITS	APPLES	GRANNY SMITH			3 lb bag	194	3.15
4/27/2018	NATIONAL	FRUITS	APPLES	GRANNY SMITH			per pound	"1,459"	1.37
4/27/2018	NATIONAL	FRUITS	APPLES	GRANNY SMITH	Y		2 lb bag	"1,322"	3.89
4/27/2018	NATIONAL	FRUITS	APPLES	GRANNY SMITH	Y		3 lb bag	109	3.13
4/27/2018	NATIONAL	FRUITS	APPLES	GRANNY SMITH	Y		per pound	111	1.71
4/27/2018	NATIONAL	FRUITS	APPLES	HONEYCRISP			per pound	"1,351"	1.98
4/27/2018	NATIONAL	FRUITS	APPLES	HONEYCRISP	Y		per pound	443	2.78
4/27/2018	NATIONAL	FRUITS	APPLES	JONAGOLD			3 lb bag	7	2.5
4/27/2018	NATIONAL	FRUITS	APPLES	JONAGOLD			per pound	214	0.99
4/27/2018	NATIONAL	FRUITS	APPLES	MCINTOSH			3 lb bag	818	3.2
