			
			
			
State	Year-Quarter	Average Price	Median Price
US	2000Q1	"$151,780 "	"$125,839 "
US	2000Q2	"$156,640 "	"$129,682 "
US	2000Q3	"$159,992 "	"$132,229 "
US	2000Q4	"$162,280 "	"$133,976 "
US	2001Q1	"$165,042 "	"$136,041 "
US	2001Q2	"$169,103 "	"$139,396 "
US	2001Q3	"$172,401 "	"$142,066 "
US	2001Q4	"$173,836 "	"$143,273 "
US	2002Q1	"$176,125 "	"$145,167 "
US	2002Q2	"$181,932 "	"$149,971 "
US	2002Q3	"$186,200 "	"$153,684 "
US	2002Q4	"$188,517 "	"$156,064 "
US	2003Q1	"$190,666 "	"$158,276 "
US	2003Q2	"$195,968 "	"$162,913 "
US	2003Q3	"$200,897 "	"$167,241 "
US	2003Q4	"$204,227 "	"$170,483 "
US	2004Q1	"$207,787 "	"$173,706 "
US	2004Q2	"$216,736 "	"$181,368 "
US	2004Q3	"$223,330 "	"$187,454 "
US	2004Q4	"$228,014 "	"$191,738 "
US	2005Q1	"$233,540 "	"$196,792 "
US	2005Q2	"$243,226 "	"$205,493 "
US	2005Q3	"$251,246 "	"$212,611 "
US	2005Q4	"$255,357 "	"$216,396 "
US	2006Q1	"$258,060 "	"$218,853 "
US	2006Q2	"$263,336 "	"$223,234 "
US	2006Q3	"$264,185 "	"$223,897 "
US	2006Q4	"$262,391 "	"$222,314 "
US	2007Q1	"$260,655 "	"$220,729 "
US	2007Q2	"$261,131 "	"$220,901 "
US	2007Q3	"$257,231 "	"$217,340 "
US	2007Q4	"$248,203 "	"$209,444 "
US	2008Q1	"$239,418 "	"$201,688 "
US	2008Q2	"$235,779 "	"$198,428 "
US	2008Q3	"$229,532 "	"$193,009 "
US	2008Q4	"$218,349 "	"$183,464 "
US	2009Q1	"$211,055 "	"$177,236 "
US	2009Q2	"$212,347 "	"$178,376 "
US	2009Q3	"$213,983 "	"$179,773 "
US	2009Q4	"$212,810 "	"$178,813 "
US	2010Q1	"$208,507 "	"$175,150 "
US	2010Q2	"$214,594 "	"$180,176 "
AK	2000Q1	"$159,887 "	"$148,406 "
AK	2000Q2	"$166,115 "	"$153,989 "
AK	2000Q3	"$166,536 "	"$154,215 "
AK	2000Q4	"$165,892 "	"$153,208 "
AK	2001Q1	"$168,500 "	"$155,637 "
AK	2001Q2	"$173,264 "	"$159,871 "
AK	2001Q3	"$175,048 "	"$161,249 "
AK	2001Q4	"$177,433 "	"$163,249 "
AK	2002Q1	"$175,754 "	"$161,283 "
AK	2002Q2	"$181,469 "	"$166,536 "
AK	2002Q3	"$184,992 "	"$169,376 "
AK	2002Q4	"$185,335 "	"$169,719 "
AK	2003Q1	"$189,930 "	"$173,874 "
AK	2003Q2	"$191,422 "	"$174,999 "
AK	2003Q3	"$194,297 "	"$177,637 "
AK	2003Q4	"$197,648 "	"$180,618 "
AK	2004Q1	"$201,036 "	"$183,544 "
AK	2004Q2	"$208,921 "	"$190,242 "
AK	2004Q3	"$212,760 "	"$193,471 "
AK	2004Q4	"$215,168 "	"$195,223 "
AK	2005Q1	"$223,116 "	"$201,983 "
AK	2005Q2	"$230,912 "	"$209,140 "
AK	2005Q3	"$239,020 "	"$216,474 "
AK	2005Q4	"$240,658 "	"$218,128 "
AK	2006Q1	"$244,673 "	"$221,543 "
AK	2006Q2	"$253,254 "	"$229,771 "
AK	2006Q3	"$257,890 "	"$234,228 "
AK	2006Q4	"$257,267 "	"$233,691 "
AK	2007Q1	"$255,539 "	"$232,378 "
AK	2007Q2	"$266,963 "	"$242,723 "
AK	2007Q3	"$265,348 "	"$241,502 "
AK	2007Q4	"$261,806 "	"$238,102 "
AK	2008Q1	"$255,563 "	"$232,344 "
AK	2008Q2	"$262,607 "	"$238,788 "
AK	2008Q3	"$264,579 "	"$240,408 "
AK	2008Q4	"$255,108 "	"$231,877 "
AK	2009Q1	"$263,611 "	"$240,012 "
AK	2009Q2	"$263,559 "	"$240,542 "
AK	2009Q3	"$258,839 "	"$236,633 "
AK	2009Q4	"$258,650 "	"$236,921 "
AK	2010Q1	"$253,296 "	"$232,280 "
AK	2010Q2	"$263,931 "	"$241,750 "
AL	2000Q1	"$112,059 "	"$95,800 "
AL	2000Q2	"$113,114 "	"$96,711 "
AL	2000Q3	"$113,934 "	"$97,330 "
AL	2000Q4	"$114,645 "	"$97,757 "
AL	2001Q1	"$115,667 "	"$98,615 "
AL	2001Q2	"$117,095 "	"$99,973 "
AL	2001Q3	"$117,692 "	"$100,372 "
AL	2001Q4	"$118,598 "	"$100,980 "
AL	2002Q1	"$119,181 "	"$101,424 "
AL	2002Q2	"$120,692 "	"$102,659 "
AL	2002Q3	"$122,459 "	"$104,145 "
AL	2002Q4	"$123,770 "	"$105,227 "
AL	2003Q1	"$125,190 "	"$106,260 "
AL	2003Q2	"$126,787 "	"$107,473 "
AL	2003Q3	"$129,213 "	"$109,365 "
AL	2003Q4	"$129,937 "	"$109,838 "
