Date	Region	Class	Commodity	Variety	Organic	Environment	Unit	Number of Stores	Weighted Avg Price
4/27/2018	NATIONAL	VEGETABLES	ARTICHOKES				each	705	1.93
4/27/2018	NATIONAL	VEGETABLES	ARTICHOKES		Y		each	28	2.64
4/27/2018	NATIONAL	VEGETABLES	ASPARAGUS	GREEN			per pound	"8,752"	2.62
4/27/2018	NATIONAL	VEGETABLES	ASPARAGUS	GREEN	Y		per pound	146	2.95
4/27/2018	NATIONAL	VEGETABLES	BEANS	ROUND GREEN TYPE			per pound	"4,336"	1.38
4/27/2018	NATIONAL	VEGETABLES	BEANS	ROUND GREEN TYPE	Y		per pound	19	2.79
4/27/2018	NATIONAL	VEGETABLES	BEETS				per bunch	15	2.08
4/27/2018	NATIONAL	VEGETABLES	BEETS				per pound	51	0.74
4/27/2018	NATIONAL	VEGETABLES	BEETS		Y		per bunch	114	2.85
4/27/2018	NATIONAL	VEGETABLES	BOK CHOY				per pound	31	0.83
4/27/2018	NATIONAL	VEGETABLES	BROCCOLI				per bunch	"1,484"	2.34
4/27/2018	NATIONAL	VEGETABLES	BROCCOLI				per pound	222	1.12
4/27/2018	NATIONAL	VEGETABLES	BROCCOLI		Y		per bunch	385	2.94
4/27/2018	NATIONAL	VEGETABLES	BROCCOLI		Y		per pound	495	1.97
4/27/2018	NATIONAL	VEGETABLES	BROCCOLI	CROWN CUT			per pound	"3,814"	1.35
4/27/2018	NATIONAL	VEGETABLES	BROCCOLI	CROWN CUT	Y		per pound	243	2.09
4/27/2018	NATIONAL	VEGETABLES	BRUSSELS SPROUTS				2 lb bag	40	2.99
4/27/2018	NATIONAL	VEGETABLES	BRUSSELS SPROUTS				per pound	"1,210"	2.64
4/27/2018	NATIONAL	VEGETABLES	BRUSSELS SPROUTS		Y		per pound	82	3.23
4/27/2018	NATIONAL	VEGETABLES	CABBAGE	ROUND GREEN TYPE			per pound	"2,014"	0.49
4/27/2018	NATIONAL	VEGETABLES	CABBAGE	ROUND GREEN TYPE	Y		per pound	79	1.13
4/27/2018	NATIONAL	VEGETABLES	CACTUS LEAF (NOPALES)				per pound	171	0.72
4/27/2018	NATIONAL	VEGETABLES	CARROTS				1 lb bag	218	0.54
4/27/2018	NATIONAL	VEGETABLES	CARROTS				2 lb bag	439	1.58
4/27/2018	NATIONAL	VEGETABLES	CARROTS				per pound	220	0.43
4/27/2018	NATIONAL	VEGETABLES	CARROTS		Y		1 lb bag	116	1.59
4/27/2018	NATIONAL	VEGETABLES	CARROTS		Y		2 lb bag	87	2.27
4/27/2018	NATIONAL	VEGETABLES	CARROTS		Y		per bunch	52	1.72
4/27/2018	NATIONAL	VEGETABLES	CARROTS	BABY PEELED			1 lb bag	"3,842"	1.33
4/27/2018	NATIONAL	VEGETABLES	CARROTS	BABY PEELED			2 lb bag	"1,159"	2.47
4/27/2018	NATIONAL	VEGETABLES	CARROTS	BABY PEELED	Y		1 lb bag	"2,874"	1.59
4/27/2018	NATIONAL	VEGETABLES	CARROTS	BABY PEELED	Y		2 lb bag	103	2.83
4/27/2018	NATIONAL	VEGETABLES	CAULIFLOWER				each	787	2.35
4/27/2018	NATIONAL	VEGETABLES	CAULIFLOWER				per pound	742	1.19
4/27/2018	NATIONAL	VEGETABLES	CAULIFLOWER		Y		each	50	2.01
4/27/2018	NATIONAL	VEGETABLES	CAULIFLOWER		Y		per pound	81	1.95
4/27/2018	NATIONAL	VEGETABLES	CELERY				each	905	1.17
4/27/2018	NATIONAL	VEGETABLES	CELERY				per pound	10	1.19
4/27/2018	NATIONAL	VEGETABLES	CELERY		Y		each	291	1.4
4/27/2018	NATIONAL	VEGETABLES	CELERY		Y		per pound	43	1.69
4/27/2018	NATIONAL	VEGETABLES	CELERY	HEARTS			each	643	2.05
4/27/2018	NATIONAL	VEGETABLES	CELERY	HEARTS	Y		each	237	2.38
4/27/2018	NATIONAL	VEGETABLES	CHAYOTE				each	203	0.41
4/27/2018	NATIONAL	VEGETABLES	CHAYOTE				per pound	21	0.73
4/27/2018	NATIONAL	VEGETABLES	CHINESE CABBAGE				per pound	41	0.77
4/27/2018	NATIONAL	VEGETABLES	COLLARD GREENS				1 lb bag	280	2.12
4/27/2018	NATIONAL	VEGETABLES	COLLARD GREENS				per bunch	267	1.91
4/27/2018	NATIONAL	VEGETABLES	COLLARD GREENS				per pound	75	1.21
4/27/2018	NATIONAL	VEGETABLES	COLLARD GREENS		Y		per bunch	54	2.77
4/27/2018	NATIONAL	VEGETABLES	CORN-SWEET				each	"9,070"	0.42
4/27/2018	NATIONAL	VEGETABLES	CUCUMBERS				each	"4,023"	0.63
4/27/2018	NATIONAL	VEGETABLES	CUCUMBERS				per pound	81	0.68
4/27/2018	NATIONAL	VEGETABLES	CUCUMBERS		Y		each	284	1.23
4/27/2018	NATIONAL	VEGETABLES	CUCUMBERS	LONG SEEDLESS		Greenhouse	each	"2,269"	1.27
4/27/2018	NATIONAL	VEGETABLES	CUCUMBERS	LONG SEEDLESS		Greenhouse	per pound	14	0.79
4/27/2018	NATIONAL	VEGETABLES	CUCUMBERS	LONG SEEDLESS	Y	Greenhouse	each	716	2.03
4/27/2018	NATIONAL	VEGETABLES	EGGPLANT				each	62	0.64
4/27/2018	NATIONAL	VEGETABLES	EGGPLANT				per pound	198	1.23
4/27/2018	NATIONAL	VEGETABLES	GARLIC				per pound	10	2.39
4/27/2018	NATIONAL	VEGETABLES	GARLIC				per sleeve	621	1.21
4/27/2018	NATIONAL	VEGETABLES	KALE GREENS				1 lb bag	205	1.99
4/27/2018	NATIONAL	VEGETABLES	KALE GREENS				per bunch	429	1.14
4/27/2018	NATIONAL	VEGETABLES	KALE GREENS				per pound	66	1.29
4/27/2018	NATIONAL	VEGETABLES	KALE GREENS		Y		per bunch	588	1.47
4/27/2018	NATIONAL	VEGETABLES	KALE GREENS		Y		per pound	31	2.99
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, BOSTON"				each	8	1.99
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, BOSTON"			Greenhouse	each	7	1.99
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, BOSTON"		Y		each	159	2.5
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, GREEN LEAF"				each	139	1.6
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, GREEN LEAF"				per pound	109	1.49
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, GREEN LEAF"		Y		each	573	2
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ICEBERG"				each	"1,325"	0.97
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ICEBERG"				per pound	23	1.78
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ICEBERG"		Y		each	35	3.69
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, RED LEAF"				each	164	1.55
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, RED LEAF"				per pound	109	1.49
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, RED LEAF"		Y		each	572	2
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ROMAINE"				3 count package	29	2.5
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ROMAINE"				each	21	1.72
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ROMAINE"				per pound	152	1.42
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ROMAINE"		Y		each	457	1.99
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ROMAINE"	HEARTS			3 count package	"1,845"	2.85
4/27/2018	NATIONAL	VEGETABLES	"LETTUCE, ROMAINE"	HEARTS	Y		3 count package	"1,446"	3.05
4/27/2018	NATIONAL	VEGETABLES	MUSHROOMS	PORTOBELLA			6 oz package	"4,723"	2.41
4/27/2018	NATIONAL	VEGETABLES	MUSHROOMS	PORTOBELLA			8 oz package	357	2.06
4/27/2018	NATIONAL	VEGETABLES	MUSHROOMS	PORTOBELLA			per pound	8	5.99
