Class,Date,Region,Comodity,Organic,Environment,Number of unit,Weighted,Avg. Price
VEGETABLE,#############',PLAIN,Cucumber,n/a,n/a,per kg,2.3,$0.40
VEGETABLE,#############',PLAIN,Tomatoes,n/a,n/a,per kg,3.4,$0.10
VEGETABLE,#############',PLAIN,Lettuce,n/a,n/a,per kg,2.4,$0.15
VEGETABLE,#############',PLAIN,Morning Glory,n/a,n/a,per kg,1.5,$0.25
VEGETABLE,#############',PLAIN,Onion,n/a,n/a,per kg,2.6,$0.25
VEGETABLE,#############',PLAIN,Lime,n/a,n/a,per kg,4.3,$0.10
VEGETABLE,#############',PLAIN,Green Onion,n/a,n/a,per kg,2.4,$0.05
VEGETABLE,#############',PLAIN,Carrot,n/a,n/a,per kg,5,$0.10
VEGETABLE,#############',PLAIN,Potato,n/a,n/a,per kg,4.1,$0.75
VEGETABLE,#############',PLAIN,Coriander,n/a,n/a,per kg,2.5,$0.10
VEGETABLE,#############',PLAIN,Bok Choy,n/a,n/a,per kg,2,$0.25
